,COUNTY,DESAL_CAPACITY,SLIGHTLY_SALINE_ENERGY_CAPACITY,MODERATELY_SALINE_ENERGY_CAPACITY,SALINE_ENERGY_CAPACITY,SLIGHTLY_SALINE_CAPEX,SLIGHTLY_SALINE_OPEX,MODERATELY_SALINE_CAPEX,MODERATELY_SALINE_OPEX,SALINE_CAPEX,SALINE_OPEX
0,Anderson,1892.7059,146.04212191358022,,,3014934.221332432,363792.2926409895,,,,
1,Andrews,1892.7059,108.52671444954126,217.05342889908252,542.6335722477063,2839726.8702046145,362337.82029360865,3155648.135967229,366545.4010128174,4103411.9332550727,379168.14317044354
2,Angelina,1892.7059,145.1461579754601,290.2923159509202,,3004826.070308564,363757.5561191085,3427346.5361751285,369384.87266381714,,
3,Aransas,1892.7059,141.66960329341316,283.3392065868263,708.3480164670658,2990205.8196291258,363622.7700940856,3402606.034816251,369115.3006137712,4639806.680377629,385592.8921728281
4,Archer,1892.7059,,,,,,,,,
5,Armstrong,1892.7059,109.53159143518516,,,2841152.067109824,362376.77937434206,,,,
6,Atascosa,1892.7059,126.51777406417112,253.03554812834224,632.5888703208556,3015098.844742802,363035.33367486787,3383392.085043604,367940.4277753358,4488271.80594601,382655.71007673955
7,Austin,1892.7059,129.99353708791205,,,3101716.7909049117,363170.0890072983,,,,
8,Bailey,1892.7059,108.52671444954126,,,2839726.8702046145,362337.82029360865,,,,
9,Bandera,1892.7059,125.84480718085103,,,3109139.838145457,363009.24274880154,,,,
10,Bastrop,1892.7059,130.71173342541437,261.42346685082873,,3067807.460443381,363197.93347930326,3448309.3164447625,368265.6273842066,,
11,Baylor,1892.7059,133.6656709039548,267.3313418079096,,2933906.3724434124,363312.4576353463,3323007.140444825,368494.6756962926,,
12,Bee,1892.7059,132.9147401685393,,,2964720.4130726177,363283.34405073425,,,,
13,Bell,1892.7059,138.35569444444442,276.71138888888885,,3004559.0309697776,363494.28984801105,3407312.4574975553,368858.3401216222,,
14,Bexar,1892.7059,129.99353708791205,259.9870741758241,649.9676854395602,3025216.7909049117,363170.0890072983,3403627.977367824,368209.9384401967,4538861.53675656,383329.4867388917
15,Blanco,1892.7059,129.99353708791205,259.9870741758241,,3121216.7909049117,363170.0890072983,3499627.977367824,368209.9384401967,,
