,COUNTY,DESAL_CAPACITY,SLIGHTLY_SALINE_ENERGY_CAPACITY,MODERATELY_SALINE_ENERGY_CAPACITY,SALINE_ENERGY_CAPACITY,SLIGHTLY_SALINE_CAPEX,SLIGHTLY_SALINE_OPEX,MODERATELY_SALINE_CAPEX,MODERATELY_SALINE_OPEX,SALINE_CAPEX,SALINE_OPEX
0,Anderson,1892.7059,73.02106095679011,,,3753208.575870216,360961.2661076947,,,,
1,Andrews,1892.7059,54.26335722477063,217.05342889908252,1081.6495873470947,3632604.9003063072,360234.0299340043,4106486.798950229,366545.4010128174,6623326.216192393,400065.7940758468
2,Angelina,1892.7059,72.57307898773006,290.2923159509202,,3744404.500358282,360943.89784675423,4378185.199158128,369384.87266381714,,
3,Aransas,1892.7059,70.83480164670658,283.3392065868263,1411.9737128243514,3734844.3750185627,360876.50483424275,4353444.697799251,369115.3006137712,7638899.745456686,412872.4604206001
4,Archer,1892.7059,,,,,,,,,
5,Armstrong,1892.7059,54.76579571759258,,,3632567.4987589116,360253.50947437104,,,,
6,Atascosa,1892.7059,63.25888703208556,253.03554812834224,1260.9604815062391,3781790.887575401,360582.7866246339,4334230.748026604,367940.4277753358,7268300.2290896615,407017.6774423968
7,Austin,1892.7059,64.99676854395602,,,3863349.8606564556,360650.1642908491,,,,
8,Bailey,1892.7059,54.26335722477063,,,3632604.9003063072,360234.0299340043,,,,
9,Bandera,1892.7059,62.92240359042552,,,3876811.3842767286,360569.74116160074,,,,
10,Bastrop,1892.7059,65.35586671270718,261.42346685082873,,3828395.19542569,360664.08652685164,4399147.979427762,368265.6273842066,,
11,Baylor,1892.7059,66.8328354519774,267.3313418079096,,3690194.6514257058,360721.3486048731,4273845.803427825,368494.6756962926,,
12,Bee,1892.7059,66.45737008426966,,,3722101.671740309,360706.7918125671,,,,
13,Bell,1892.7059,69.17784722222221,276.71138888888885,,3754020.9806888886,360812.2647112055,4358151.120480555,368858.3401216222,,
14,Bexar,1892.7059,64.99676854395602,259.9870741758241,1295.6022529761904,3786849.8606564556,360650.1642908491,4354466.640350823,368209.9384401967,7369142.42583869,408360.73892228684
15,Blanco,1892.7059,64.99676854395602,259.9870741758241,,3882849.8606564556,360650.1642908491,4450466.640350823,368209.9384401967,,
16,Borden,1892.7059,58.561444925742556,234.24577970297022,1167.3248021864686,3642116.6336038364,360400.666794171,4153533.732140346,367211.9484534841,6869726.766589809,403387.42215516936
17,Bosque,1892.7059,73.93382421874999,,,3767865.629725781,360996.65393936087,,,,
18,Bowie,1892.7059,77.82507812499999,,,3758193.0698468746,361147.5178533062,,,,
19,Brazoria,1892.7059,67.2125674715909,268.8502698863636,,3869800.0513348007,360736.0708152735,4456767.403064204,368553.5645378943,,
20,Brazos,1892.7059,66.8328354519774,267.3313418079096,,3798194.6514257058,360721.3486048731,4381845.803427825,368494.6756962926,,
21,Brewster,1892.7059,54.513418778801835,,,3613832.8294900917,360243.7248204541,,,,
