COUNTY NAME,CONTAINS_FRESH,CONTAINS_SLIGHTLY_SALINE,CONTAINS_MODERATELY_SALINE,CONTAINS_SALINE,,Aquifer Name
Anderson,TRUE,TRUE,FALSE,FALSE,,Carrizo-Wilcox
Andrews,TRUE,TRUE,TRUE,TRUE,,Edwards
Angelina,TRUE,TRUE,TRUE,FALSE,,Edwards-Trinity
Aransas,TRUE,TRUE,TRUE,TRUE,,Gulf Coast
Archer,FALSE,FALSE,FALSE,FALSE,,Hueco-Mesilla Bolsons
Armstrong,TRUE,TRUE,FALSE,FALSE,,Ogallala
Atascosa,TRUE,TRUE,TRUE,TRUE,,Pecos Valley
Austin,TRUE,TRUE,FALSE,FALSE,,Seymour
Bailey,TRUE,TRUE,FALSE,FALSE,,Trinity
Bandera,TRUE,TRUE,FALSE,FALSE,,Blaine
Bastrop,TRUE,TRUE,TRUE,FALSE,,Blossom
Baylor,TRUE,TRUE,TRUE,FALSE,,Bone Spring-Victorio Peak
Bee,TRUE,TRUE,FALSE,FALSE,,Brazos River Alluvium
Bell,TRUE,TRUE,TRUE,FALSE,,Captain Reef Complex
Bexar,TRUE,TRUE,TRUE,TRUE,,Dockum
Blanco,TRUE,TRUE,TRUE,FALSE,,Edwards-Trinity (High Plains)
Borden,TRUE,TRUE,TRUE,TRUE,,Ellenburger-San Saba
Bosque,TRUE,TRUE,FALSE,FALSE,,Hickory
Bowie,TRUE,TRUE,FALSE,FALSE,,Igneous
Brazoria,TRUE,TRUE,TRUE,FALSE,,Lipan
Brazos,TRUE,TRUE,TRUE,FALSE,,Marathon
Brewster,TRUE,TRUE,FALSE,FALSE,,Marble Falls
Briscoe,TRUE,TRUE,FALSE,FALSE,,Nacatoch
Brooks,TRUE,TRUE,FALSE,FALSE,,Queen City
Brown,TRUE,TRUE,TRUE,FALSE,,Rita Blanca
Burleson,TRUE,TRUE,TRUE,FALSE,,Rustler
Burnet,TRUE,TRUE,FALSE,FALSE,,Sparta
Caldwell,TRUE,TRUE,TRUE,TRUE,,West Texas Bolsons
Calhoun,TRUE,TRUE,FALSE,FALSE,,Woodbine
Callahan,TRUE,TRUE,TRUE,FALSE,,Yegua-Jackson
Cameron,TRUE,TRUE,TRUE,FALSE,,
Camp,TRUE,FALSE,FALSE,FALSE,,
Carson,TRUE,TRUE,TRUE,FALSE,,
Cass,TRUE,TRUE,FALSE,FALSE,,
Castro,TRUE,TRUE,FALSE,FALSE,,
Chambers,TRUE,TRUE,FALSE,FALSE,,
Cherokee,TRUE,TRUE,TRUE,FALSE,,
Childress,TRUE,TRUE,TRUE,FALSE,,
Clay,TRUE,FALSE,FALSE,FALSE,,
Cochran,TRUE,TRUE,FALSE,FALSE,,
Coke,TRUE,TRUE,FALSE,FALSE,,
Coleman,TRUE,TRUE,FALSE,FALSE,,
Collin,TRUE,TRUE,FALSE,FALSE,,
Collingsworth,TRUE,TRUE,TRUE,FALSE,,
Colorado,TRUE,TRUE,FALSE,FALSE,,
Comal,TRUE,TRUE,FALSE,FALSE,,
Comanche,TRUE,TRUE,FALSE,FALSE,,
Concho,TRUE,TRUE,FALSE,FALSE,,
Cooke,TRUE,TRUE,TRUE,FALSE,,
Coryell,TRUE,TRUE,FALSE,FALSE,,
Cottle,FALSE,TRUE,TRUE,FALSE,,
Crane,TRUE,TRUE,TRUE,TRUE,,
Crockett,TRUE,TRUE,TRUE,FALSE,,
Crosby,TRUE,TRUE,TRUE,TRUE,,
Culberson,TRUE,TRUE,TRUE,FALSE,,
Dallam,TRUE,TRUE,FALSE,FALSE,,
Dallas,TRUE,TRUE,TRUE,FALSE,,
Dawson,TRUE,TRUE,TRUE,FALSE,,
DeWitt,TRUE,TRUE,FALSE,FALSE,,
Deaf Smith,TRUE,TRUE,FALSE,FALSE,,
Delta,TRUE,TRUE,TRUE,FALSE,,
Denton,TRUE,TRUE,FALSE,FALSE,,
Dickens,TRUE,TRUE,FALSE,FALSE,,
Dimmit,TRUE,TRUE,TRUE,FALSE,,
Donley,TRUE,FALSE,FALSE,FALSE,,
Duval,TRUE,TRUE,TRUE,FALSE,,
Eastland,TRUE,TRUE,FALSE,FALSE,,
Ector,TRUE,TRUE,TRUE,FALSE,,
Edwards,TRUE,FALSE,FALSE,FALSE,,
El Paso,TRUE,TRUE,TRUE,FALSE,,
Ellis,TRUE,TRUE,TRUE,FALSE,,
Erath,TRUE,FALSE,FALSE,FALSE,,
Falls,TRUE,TRUE,TRUE,FALSE,,
Fannin,TRUE,TRUE,FALSE,FALSE,,
Fayette,TRUE,TRUE,TRUE,FALSE,,
Fisher,TRUE,TRUE,TRUE,FALSE,,
Floyd,TRUE,TRUE,FALSE,FALSE,,
Foard,TRUE,TRUE,TRUE,FALSE,,
Fort Bend,TRUE,TRUE,FALSE,FALSE,,
Franklin,TRUE,FALSE,FALSE,FALSE,,
Freestone,TRUE,TRUE,FALSE,FALSE,,
Frio,TRUE,TRUE,TRUE,TRUE,,
Gaines,TRUE,TRUE,TRUE,TRUE,,
Galveston,TRUE,TRUE,FALSE,FALSE,,
Garza,TRUE,TRUE,TRUE,TRUE,,
Gillespie,TRUE,TRUE,FALSE,FALSE,,
Glasscock,TRUE,TRUE,TRUE,FALSE,,
Goliad,TRUE,TRUE,FALSE,FALSE,,
