,geometry,COUNTY_NAME,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,"POLYGON ((-95.73445601406257 31.516634692708294, -95.75898527855497 31.540864892480784, -95.7522409106565 31.55659451561297, -95.7194871850541 31.565850809581036, -95.72813172512025 31.585366323721587, -95.71164441610682 31.602091620492217, -95.71272800120039 31.632276487385695, -95.72736170987758 31.650647494882094, -95.74177400809003 31.653023901584618, -95.75656768764094 31.648104900820954, -95.7580475218324 31.609796694302702, -95.77056762569936 31.607074910068945, -95.78953500129825 31.625144625272014, -95.79148091643276 31.65992621999942, -95.78226461518307 31.692003177630284, -95.79336580640887 31.696073317403204, -95.80223890589701 31.680881575613, -95.82555507519726 31.698647978164786, -95.86601491069086 31.697407996676134, -95.86968501967107 31.730875374726338, -95.87943578319585 31.740366081973093, -95.8685866186222 31.752294376493012, -95.89300901138114 31.75958387829877, -95.89298621760372 31.770541209707005, -95.92213888901068 31.76977818800964, -95.97594282342288 31.793634207205116, -95.97440932024654 31.824164089001215, -95.98882161845899 31.848874874847922, -95.96471222570648 31.877680718210456, -95.97961277699096 31.881867106248137, -95.99293397852409 31.87458309567046, -96.02227759962045 31.881559701077833, -96.0255811950214 31.89126207962994, -96.00023549886703 31.912271104228353, -95.99915212098955 31.923186474364456, -96.01650958245398 31.95438001771032, -96.05213247478235 31.955178680586812, -96.05381869626706 31.964823815675288, -96.04338898900085 31.968108295385548, -96.05384159365252 31.986273122805017, -96.04969131303051 32.015788111663994, -95.43089641311815 32.08365259486061, -95.42500608661447 32.04461892457368, -95.43413872434041 32.02673259567035, -95.42623441219428 32.01362979996753, -95.45009198551094 31.98401358601552, -95.44976339248853 31.951591613481924, -95.42566871208328 31.928700496325632, -95.44062231070416 31.893697905565773, -95.43493790525736 31.8701831195782, -95.44069789279769 31.84484850948826, -95.41247572554778 31.828629079163022, -95.39581989799404 31.799180710298856, -95.38681640773848 31.758624208467495, -95.36198201745356 31.749835601367636, -95.35988359122683 31.73011028086728, -95.33762049444101 31.732841700652386, -95.3402143226972 31.716049783886888, -95.3266107891489 31.71822410303156, -95.28732540303406 31.680494081397626, -95.28545548442548 31.638848088812438, -95.26538939695348 31.622926117281736, -95.26726589467506 31.600164303007944, -95.65608530903336 31.544678291434195, -95.65687102090004 31.530091206392626, -95.73445601406257 31.516634692708294))",Anderson,0.225,0.204,0.248,0.263,0.234,0.246,0.257,0.216,0.258,0.248,0.183,0.162
1,"POLYGON ((-103.06001819723991 32.515545513915754, -102.20593432324938 32.52246777688572, -102.2117778189014 32.08704441254082, -102.29123252345647 32.08500250452113, -102.79490952294259 32.086401576214996, -103.05564049688462 32.08511678423213, -103.06001819723991 32.515545513915754))",Andrews,0.255,0.27,0.309,0.323,0.297,0.299,0.303,0.253,0.275,0.224,0.238,0.218
2,"POLYGON ((-94.5777183845617 31.064028809140325, -94.64252389103183 31.09508118647858, -94.67607099549878 31.089374194470395, -94.70456741333362 31.103545189467013, -94.77186749152031 31.113594085239242, -94.81872051532878 31.13408558748324, -94.8322247923374 31.148891907219934, -94.82626618810968 31.175142412727723, -94.83779450364085 31.187566575513415, -94.8459353012272 31.219498792658044, -94.8662223847316 31.2460428198533, -94.8926969945141 31.25960729315591, -94.87936838500326 31.292371224154067, -94.89495559883079 31.30040261160906, -94.9092381797285 31.337631325552877, -94.95600728099299 31.344787017524823, -94.96266042197789 31.38439980516904, -94.96048599922528 31.393442407474367, -94.99547501732673 31.4265567927996, -94.99953391562309 31.439080212124964, -94.8738692826056 31.53164118325344, -94.82103470537982 31.491729175477133, -94.79992388584395 31.49394757985948, -94.75852608641173 31.469158725325258, -94.72572682505853 31.46121499030511, -94.67943862069251 31.462218693569753, -94.62910659300542 31.44335010827416, -94.61074242364214 31.44475031965692, -94.54572358813738 31.428792396122844, -94.52921301911039 31.402837795288633, -94.48543451324036 31.383305289423106, -94.44008339214417 31.31657629896756, -94.3975939779923 31.294783479251976, -94.34567420829956 31.231783602577593, -94.32965971475443 31.223191280983258, -94.30049181295988 31.211181187884904, -94.26084069032652 31.180779210262244, -94.22456931503206 31.171122574677042, -94.18354440107595 31.12322849689133, -94.13985681129515 31.098054323911754, -94.44417042003397 31.038207189275283, -94.48312700591032 31.03145681210833, -94.49561670080595 31.044432118069892, -94.52842388817709 31.057491087555263, -94.5777183845617 31.064028809140325))",Angelina,0.221,0.205,0.243,0.255,0.232,0.237,0.235,0.202,0.247,0.251,0.181,0.163
3,"MULTIPOLYGON (((-96.79359830407537 28.271656909324122, -96.8039518075995 28.21173398537809, -96.95117132437923 28.114646221868668, -96.91298599704248 28.257082619880237, -96.97557118238103 28.211037117439105, -96.94133720815483 28.187059099730675, -96.97537230667359 28.11533651069459, -97.03388310430785 28.13768767434749, -97.02383540002864 28.200083723137823, -97.05950320645934 28.201886089279128, -97.08879279594254 28.220628894366826, -97.10065659443336 28.220953187654004, -97.12516249530387 28.24415331590575, -97.11757879835807 28.26970508852918, -96.78653290654427 28.313142412995205, -96.79359830407537 28.271656909324122)), ((-96.94023031124357 28.04622702101733, -96.872686287835 28.13169529388597, -96.83768949912763 28.102132800722984, -96.85406998821162 28.04969628573656, -97.04987231748174 27.841258122375393, -97.0246956061041 27.914681697047342, -96.94965237813807 27.984822812366588, -96.97326590262469 28.001149010817187, -96.94023031124357 28.04622702101733)), ((-97.11489130839851 27.915686902629204, -97.13636817527731 27.897497416487, -97.23648300422485 28.040814483169697, -97.12334567583576 28.05456001159007, -97.02667301809458 28.10804131044449, -97.02407090119203 28.020532476461085, -97.11489130839851 27.915686902629204)))",Aransas,0.196,0.215,0.262,0.254,0.256,0.228,0.222,0.167,0.232,0.239,0.174,0.19
4,"POLYGON ((-98.41693248227944 33.39824169137762, -98.9530204200388 33.398459786383626, -98.95327918121598 33.833267097091436, -98.418610674138 33.8340112103142, -98.41602430566348 33.4705668131968, -98.41693248227944 33.39824169137762))",Archer,0.246,0.236,0.277,0.272,0.255,0.25,0.268,0.221,0.266,0.231,0.203,0.172
5,"POLYGON ((-101.08844239796906 34.74854459631223, -101.47058059355305 34.74982011537202, -101.62842522243591 34.753181109648665, -101.62627991355345 35.18236032590039, -101.08784157471928 35.18174712148516, -101.08844239796906 34.74854459631223))",Armstrong,0.254,0.268,0.289,0.316,0.29,0.276,0.27,0.249,0.277,0.224,0.225,0.216
6,"POLYGON ((-98.80819507874708 28.639248893253693, -98.80904191938032 29.09233391238257, -98.80728690213112 29.25148327780363, -98.42120579749519 29.11534707985595, -98.31980850774636 29.022047279516528, -98.18686281698166 28.882197094567346, -98.10114438240629 28.785677880391233, -98.342109317873 28.60641481958595, -98.34407781956878 28.638140390417163, -98.80819507874708 28.639248893253693))",Atascosa,0.21,0.235,0.271,0.257,0.247,0.247,0.246,0.196,0.246,0.235,0.188,0.187
7,"POLYGON ((-96.18131568996466 29.633372606781847, -96.21955530793468 29.65855082047682, -96.26561531550686 29.67389491794711, -96.27837200842202 29.69404529059136, -96.28002761371943 29.71564907736689, -96.29986462372887 29.730535278932507, -96.34765618132036 29.827023876921203, -96.35172279841862 29.83036730962857, -96.36331980610618 29.817922425226982, -96.42241091259058 29.826751025045326, -96.44741309615932 29.857354883009975, -96.48237191250576 29.864901799087818, -96.54168448125893 29.9071190866203, -96.5762771984584 29.962269718842606, -96.62791411809565 30.05319518464097, -96.60124099523392 30.07297940633424, -96.58335720472854 30.058682475717603, -96.5712109188105 30.058762616566753, -96.29963461379361 30.100301322986184, -96.2914404062426 30.09452802180772, -96.27756971926283 30.09772272511765, -96.27579978245035 30.078422974801526, -96.26134940826881 30.071060999144493, -96.24537299069272 30.07417737474691, -96.17803431849654 30.057646912968664, -96.15755649251895 30.06654990338768, -96.14853839352418 30.0561553192602, -96.12771721037296 30.049924225784878, -96.1171273768208 30.039470377836324, -96.11573130976114 30.02430189605974, -96.10003722419998 30.021452414868804, -96.09232380993933 30.00605879273661, -96.10550011557416 29.99507488585624, -96.10504999027518 29.97123409704841, -96.09657350251308 29.960850909809494, -96.12506240876235 29.96049050910699, -96.11103159549646 29.94486998528197, -96.12748098395298 29.942705301688704, -96.13365338345159 29.934677592320725, -96.12135437922524 29.915911993455495, -96.12707670522894 29.895035120961836, -96.09621491495193 29.87927141077165, -96.11493798270072 29.873065183235326, -96.10042647975257 29.856965886477553, -96.12655788777363 29.838646683020443, -96.11616641188863 29.824527181239148, -96.10105968052704 29.82123710669248, -96.09848859424426 29.808771189850972, -96.07862868684936 29.805767177210157, -96.06803118629927 29.796217413358477, -96.05721999408644 29.802244295310174, -96.05268802130155 29.79795492084213, -96.04572970272022 29.734440889076097, -96.04159449707362 29.72191187491427, -96.02895218747773 29.722369615407104, -96.01952960254283 29.710563474812318, -96.02714401928415 29.705339503668142, -96.02277222458935 29.686840799214394, -96.05864667733334 29.684020121069466, -96.05105520978162 29.66678009936254, -96.03757362294226 29.67408312202258, -96.02336729759071 29.66347857612317, -96.03066881793353 29.653657980753053, -96.02123861780484 29.631302724580962, -96.02799080811326 29.59990699006903, -96.08363357871048 29.600141817780127, -96.10073922073883 29.615838700759298, -96.13376020338103 29.617019522034923, -96.18131568996466 29.633372606781847))",Austin,0.214,0.216,0.256,0.259,0.245,0.238,0.244,0.198,0.251,0.235,0.182,0.183
8,"POLYGON ((-103.0332585098281 33.82618159959304, -103.02964579972377 34.30782048723671, -102.60996780693881 34.30824341541489, -102.60616549405 33.8304580748553, -103.0332585098281 33.82618159959304))",Bailey,0.262,0.28,0.304,0.331,0.314,0.289,0.292,0.249,0.282,0.218,0.242,0.228
9,"POLYGON ((-99.61992049919758 29.63050281840748, -99.62174669519686 29.91997337834573, -99.31999319028455 29.923090220184406, -99.17899829147518 29.910216605552307, -98.92991302101774 29.791280902829385, -98.78953479749418 29.71881057428766, -98.80929529293729 29.696123720458843, -98.92009190760712 29.57631827971744, -98.96590760732937 29.561184092214944, -98.98210527995803 29.565460308456863, -98.98771337805476 29.6218741821815, -99.4179100256415 29.62823468214748, -99.61992049919758 29.63050281840748))",Bandera,0.218,0.247,0.285,0.27,0.249,0.264,0.258,0.21,0.262,0.239,0.197,0.188
