COUNTY,LMA,PRICE_PER_ACRE,NOTES
Anderson,Piney Woods North,6300,
Andrews,Permian West,1900,
Angelina,Piney Woods South,5800,
Aransas,Coastal Prairie South,5500,
Archer,North Central Plains,3300,
Armstrong,Panhandle Central,1800,
Atascosa,San Antonio,10100,
Austin,Houston,15200,
Bailey,Permian West,1900,
Bandera,Hill Country South,16500,
Bastrop,Blackland Prairie South,12800,
Baylor,North Central Plains,3300,
Bee,Coastal Prairie South,5500,
Bell,Blacklands North,7100,
Bexar,San Antonio,10100,
Blanco,Hill Country South,16500,
Borden,South Plains,1700,
Bosque,Blacklands North,7100,
Bowie,North East,5700,
Brazoria,Houston,15200,
Brazos,Brazos,10500,
Brewster,Trans Pecos,600,
Briscoe,Panhandle Central,1800,
Brooks,Rio Grande Plains,3700,
Brown,Crosstimbers,6200,
Burleson,Brazos,10500,
Burnet,Highland Lakes,14600,
Caldwell,Blackland Prairie South,12800,
Calhoun,Coastal Prairie Middle,7200,
Callahan,Crosstimbers,6200,
Cameron,Lower Rio Grande Valley,9200,
Camp,North East,5700,
Carson,Panhandle Central,1800,
Cass,North East,5700,
Castro,Panhandle Central,1800,
Chambers,Houston,15200,
Cherokee,Piney Woods North,6300,
Childress,Rolling Plains North,1700,
Clay,North Central Plains,3300,
Cochran,Permian West,1900,
Coke,Edwards Plateau West,2800,
Coleman,Crosstimbers,6200,
Collin,Dallas Prairie,12700,
Collingsworth,Rolling Plains North,1700,
Colorado,Coastal Prairie North,11100,
Comal,San Antonio,10100,
Comanche,Crosstimbers,6200,
Concho,Edwards Plateau West,2800,
Cooke,Texoma,14200,
Coryell,Blacklands North,7100,
Cottle,Rolling Plains North,1700,
Crane,Trans Pecos,600,
Crockett,Edwards Plateau West,2800,
Crosby,South Plains,1700,
Culberson,Trans Pecos,600,
Dallam,Panhandle North,1800,
Dallas,Dallas Prairie,12700,
Dawson,South Plains,1700,
Deaf Smith,Panhandle Central,1800,
Delta,North East,5700,
Denton,Dallas Prairie,12700,
DeWitt,Coastal Prairie North,11100,
Dickens,Rolling Plains North,1700,
Dimmit,Rio Grande Plains,3700,
Donley,Rolling Plains North,1700,
Duval,Rio Grande Plains,3700,
Eastland,Crosstimbers,6200,
Ector,Permian West,1900,
Edwards,Edwards Plateau West,2800,
El Paso,El Paso,19400,Small Tract Data used as Large Tract did not have any data
Ellis,Dallas Prairie,12700,
Erath,Crosstimbers,6200,
Falls,Blacklands North,7100,
Fannin,Texoma,14200,
Fayette,Coastal Prairie North,11100,
Fisher,Rolling Plains Central,2500,
Floyd,South Plains,1700,
Foard,North Central Plains,3300,
Fort Bend,Houston,15200,
Franklin,North East,5700,
Freestone,Blacklands North,7100,
Frio,Edwards Plateau South,6300,
Gaines,Permian West,1900,
Galveston,Houston,15200,
Garza,South Plains,1700,
Gillespie,Highland Lakes,14600,
Glasscock,Edwards Plateau West,2800,
Goliad,Coastal Prairie South,5500,
Gonzales,Coastal Prairie North,11100,
Gray,Panhandle Central,1800,
Grayson,Texoma,14200,
Gregg,Piney Woods North,6300,
Grimes,Brazos,10500,
Guadalupe,San Antonio,10100,
Hale,South Plains,1700,
Hall,Rolling Plains North,1700,
Hamilton,Hill Country North,6600,
Hansford,Panhandle North,1800,
Hardeman,North Central Plains,3300,
Hardin,Houston,15200,
